year,side_a,side_b,type_of_violence,best,deaths_civilians,latitude,longitude
2001,Government of Russia (Soviet Union),Civilians,3,2,2,43.318,45.6982
2000,Government of Russia (Soviet Union),Civilians,3,22,22,43.1607,45.4743
2003,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,2,0,43.3058,45.7477
2008,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,43.0952,45.3586
2008,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,43.318,45.6982
2008,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,0,0,43.3058,45.7477
2008,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,3,0,43.1609,45.6213
2008,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,42.9595,46.1134
2008,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,43.2911,45.3014
2008,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,3,0,43.318,45.6982
2008,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,43.318,45.6982
2008,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,43.1217,45.4801
2008,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,43.1217,45.4801
2008,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,43.3058,45.7477
2008,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,2,0,43.318,45.6982
2008,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,2,0,43.2953,45.8263
2008,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,2,0,43.395,45.3032
2008,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,2,0,43.1217,45.4801
2008,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,3,0,43.318,45.6982
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,43.318,45.6982
2008,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,43.1609,45.6213
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,43.123,45.7415
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,7,0,42.9809,46.3108
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,4,0,43.1627,45.201
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,43.157803,45.912594
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,2,0,43.318,45.6982
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,2,0,42.9682,46.2423
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,2,0,43.1276,45.5406
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,4,0,43.3058,45.7477
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,2,0,43.318,45.6982
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,2,0,43.318,45.6982
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,43.3058,45.7477
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,42.9705,46.0174
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,43.318,45.6982
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,3,0,43.1627,45.201
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,43.1617,45.199
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,43.3365,46.1927
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,2,0,43.318,45.6982
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,43.1627,45.201
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,3,1,43.1905,45.8318
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,43.2953,45.8263
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,4,0,43.318,45.6982
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,43.318,45.6982
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,43.1617,45.199
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,2,0,42.8625,45.756
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,43.318,45.6982
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,43.134,46.1959
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,2,0,43.318,45.6982
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,43.1488,45.901
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,2,0,43.0952,45.3586
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,43.318,45.6982
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,43.1488,45.901
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,42.985,45.7675
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,43.123,45.7415
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,2,0,43.318,45.6982
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,43.318,45.6982
2008,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,2,0,43.318,45.6982
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,42.9638,46.0519
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,3,0,43.318,45.6982
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,3,0,43.0708,45.5154
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,6,0,43.1609,45.6213
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,43.0708,45.5154
2001,Government of Russia (Soviet Union),Civilians,3,9,9,43.2286,45.5638
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,43.318,45.6982
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,43.318,45.6982
2003,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,4,0,43.3058,45.7477
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,42.8625,45.756
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,43.318,45.6982
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,43.318,45.6982
2010,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,43.4015,45.4384
2011,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,2,0,43.318,45.6982
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,43.2917,45.8724
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,43.1627,45.201
2003,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,3,0,43.318,45.6982
2000,Government of Russia (Soviet Union),Civilians,3,0,0,42.981,46.2256
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,0,0,43.2911,45.3014
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,43.131672,45.300046
1995,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,2,0,43.3519,46.1035
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,2,0,43.318,45.6982
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,43.318,45.6982
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,5,0,43.318,45.6982
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,2,0,43.5287,45.7798
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,43.318,45.6982
2001,Government of Russia (Soviet Union),Civilians,3,0,0,43.2917,45.8724
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,43.318,45.6982
2001,Government of Russia (Soviet Union),Civilians,3,5,5,43.0802,46.2202
2001,Government of Russia (Soviet Union),Civilians,3,1,1,43.123,45.7415
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,43.2227,46.2526
2005,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,2,0,43.8138,46.5906
2005,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,1,0,43.3058,45.7477
2005,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,7,0,43.3058,45.7477
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,43.0952,45.3586
2005,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,1,0,43.0318,45.2623
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,3,0,43.318,45.6982
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,42.9526,46.0671
2005,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,2,0,43.0236,46.3603
2006,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,7,3,43.318,45.6982
2006,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,2,0,43.3058,45.7477
2006,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,1,0,42.6528,45.8503
2007,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,0,0,42.9526,46.0671
1995,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,2,0,43.3058,45.7477
2011,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,43.1488,45.901
2011,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,3,0,43.1264,45.3282
2011,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,0,0,43.3806,45.8286
2005,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,1,0,43.318,45.6982
2002,Government of Russia (Soviet Union),Civilians,3,0,0,43.1872,45.2864
2003,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,4,0,43.318,45.6982
2004,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,4,0,42.9059,46.1377
2000,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,16,0,43.3058,45.7477
2004,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,3,0,43.1117,45.9901
2001,Government of Russia (Soviet Union),Civilians,3,1,1,43.3058,45.7477
2004,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,1,0,43.1618,46.0078
2001,Government of Russia (Soviet Union),Civilians,3,1,1,43.3058,45.7477
1995,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,2,0,43.3058,45.7477
